Datum,Verbrauch,Wind,Solar,Wind+Solar
2018-04-29,1095.1859999999997,230.288,188.28400000000002,418.572
2018-04-30,1335.4510000000005,616.205,152.01399999999998,768.219
2018-05-01,1170.4830000000002,556.5640000000001,149.881,706.445
2018-05-02,1440.242,205.69500000000002,160.145,365.84000000000003
2018-05-03,1446.283,186.46500000000003,169.95600000000002,356.42100000000005
2018-05-04,1415.559,158.18599999999998,201.18699999999995,359.37299999999993
2018-05-05,1196.54,210.90900000000002,223.946,434.855
2018-05-06,1105.1499999999996,232.48499999999999,239.472,471.957
2018-05-07,1430.147,237.97199999999998,237.922,475.894
2018-05-08,1472.7489999999998,308.093,238.65900000000005,546.7520000000001
2018-05-09,1452.8510000000003,217.018,210.97800000000004,427.99600000000004
2018-05-10,1187.184,246.08,146.35499999999996,392.43499999999995
2018-05-11,1292.3049999999998,68.85300000000001,163.23800000000006,232.09100000000007
2018-05-12,1196.6519999999998,167.847,202.81000000000003,370.65700000000004
2018-05-13,1129.728,334.973,177.55999999999997,512.533
2018-05-14,1445.9,345.47599999999994,178.18,523.656
2018-05-15,1451.175,185.88600000000002,173.23499999999996,359.121
2018-05-16,1473.4979999999996,261.645,117.91300000000001,379.558
2018-05-17,1489.8870000000002,399.397,150.08999999999997,549.487
2018-05-18,1427.757,117.07000000000004,172.56099999999998,289.63100000000003
2018-05-19,1192.2040000000002,62.942,185.186,248.12800000000001
2018-05-20,1052.9889999999998,276.29999999999995,200.00399999999996,476.3039999999999
2018-05-21,1100.656,381.297,239.37300000000002,620.6700000000001
2018-05-22,1417.5330000000001,166.445,204.838,371.283
2018-05-23,1464.0059999999999,251.23899999999998,182.99799999999996,434.23699999999997
2018-05-24,1471.4050000000002,341.7890000000001,145.90500000000003,487.69400000000013
2018-05-25,1438.2980000000002,256.955,199.527,456.48199999999997
2018-05-26,1219.519,128.441,227.437,355.87800000000004
2018-05-27,1120.7790000000002,175.48100000000002,190.197,365.678
2018-05-28,1444.698,177.52300000000002,225.637,403.16
2018-05-29,1484.795,284.52199999999993,201.69899999999996,486.2209999999999
2018-05-30,1440.6010000000003,102.768,208.341,311.10900000000004
2018-05-31,1251.7659999999996,122.405,206.265,328.66999999999996
2018-06-01,1330.302,130.084,163.68999999999997,293.774
2018-06-02,1171.5390000000002,102.282,152.734,255.01600000000002
2018-06-03,1089.458,50.28600000000001,189.436,239.722
2018-06-04,1419.2300000000002,119.87099999999998,208.77799999999996,328.64899999999994
2018-06-05,1448.9099999999999,101.163,197.096,298.259
2018-06-06,1462.856,217.477,232.621,450.098
2018-06-07,1465.448,129.05800000000002,201.234,330.29200000000003
2018-06-08,1441.3909999999998,80.923,195.11100000000002,276.034
2018-06-09,1229.3739999999998,83.63799999999998,189.12600000000003,272.764
2018-06-10,1140.161,112.462,174.51200000000003,286.97400000000005
2018-06-11,1460.1200000000001,186.895,169.02199999999996,355.917
2018-06-12,1461.179,218.308,121.26699999999998,339.575
2018-06-13,1448.7280000000003,214.74099999999999,88.83199999999998,303.573
2018-06-14,1457.8570000000002,208.82299999999995,187.82800000000006,396.651
2018-06-15,1420.6399999999999,36.662,183.20400000000004,219.86600000000004
2018-06-16,1203.6399999999999,71.938,193.54300000000003,265.48100000000005
2018-06-17,1124.456,211.53199999999998,170.76399999999998,382.29599999999994
2018-06-18,1459.805,204.359,166.39699999999996,370.756
2018-06-19,1497.7469999999998,201.528,151.569,353.097
2018-06-20,1510.4009999999998,196.79200000000003,215.127,411.91900000000004
2018-06-21,1502.4080000000006,524.1139999999999,181.05100000000002,705.165
2018-06-22,1455.7500000000002,573.721,160.94899999999998,734.67
2018-06-23,1213.9210000000003,466.83099999999996,148.412,615.2429999999999
2018-06-24,1111.429,226.84499999999997,129.419,356.264
2018-06-25,1436.0240000000001,197.644,158.80799999999996,356.452
2018-06-26,1444.9450000000002,94.466,171.63400000000001,266.1
2018-06-27,1440.1539999999998,143.647,216.26200000000006,359.90900000000005
2018-06-28,1457.9009999999998,206.43499999999997,161.52100000000002,367.956
2018-06-29,1428.686,201.33,212.03900000000002,413.369
2018-06-30,1196.4049999999997,250.02499999999998,244.75599999999997,494.78099999999995
2018-07-01,1106.012,279.726,255.42499999999998,535.151
2018-07-02,1427.5469999999996,140.808,257.693,398.501
2018-07-03,1468.1390000000001,82.02899999999998,241.391,323.41999999999996
2018-07-04,1469.5800000000002,43.893,200.33199999999997,244.22499999999997
2018-07-05,1482.3380000000002,147.932,169.76,317.692
2018-07-06,1455.821,296.63899999999995,156.512,453.15099999999995
2018-07-07,1210.023,294.705,236.10099999999997,530.8059999999999
2018-07-08,1099.8539999999998,163.119,228.022,391.14099999999996
2018-07-09,1426.9029999999998,290.65099999999995,192.351,483.00199999999995
2018-07-10,1416.1090000000002,171.35000000000002,123.845,295.19500000000005
2018-07-11,1405.034,120.452,131.812,252.264
2018-07-12,1397.819,161.342,163.32999999999998,324.672
2018-07-13,1385.053,138.91400000000002,218.13400000000001,357.048
2018-07-14,1148.497,88.861,208.15099999999998,297.012
2018-07-15,1056.396,61.06999999999999,207.45999999999998,268.53
2018-07-16,1364.4529999999997,48.54400000000001,209.683,258.227
2018-07-17,1398.2450000000001,134.18,205.62400000000002,339.80400000000003
2018-07-18,1408.003,225.99599999999998,215.61499999999998,441.611
2018-07-19,1396.366,118.92099999999999,223.633,342.554
2018-07-20,1362.9489999999998,81.53999999999999,211.03599999999997,292.57599999999996
